R0000100,PUBID,PUBID_R0000100
R5310602,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_R5310602
R5310701,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_R5310701
R5310702,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_R5310702
R5310801,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_R5310801
R5310802,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_R5310802
R5310901,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_R5310901
R5310902,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_R5310902
R5311001,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_R5311001
R5311002,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_R5311002
R5311101,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_R5311101
R5311102,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_R5311102
R5311201,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_R5311201
R5311202,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_R5311202
R5311301,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_R5311301
R5311302,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_R5311302
R5311401,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_R5311401
R5311402,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_R5311402
R5311501,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_R5311501
R5311502,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_R5311502
R5311601,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_R5311601
R5311602,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_R5311602
R5311701,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_R5311701
R5311702,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_R5311702
R5311801,YEMP_STOPDATE.09~M,YEMP_STOPDATE.09~M_R5311801
R5311802,YEMP_STOPDATE.09~Y,YEMP_STOPDATE.09~Y_R5311802
