"","id","male","job_number","year","urban","highest_grade","family_income","employer_id","hourly_pay","hours_worked","job_satisfaction","union","cohort","tenure","avg_age_job_year","white","religious","personality_2","personality_4","personality_6","personality_8","personality_10","personality_1","personality_3","personality_5","personality_7","personality_9"
"98","250 _97","1",1,2004,"1",12,10.7831549631124,200402,2.48130015419389,40,0,1,"1997",0.501369863013699,22.7493150684931,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","255 _97","0",5,2015,"1",16,12.4597570409967,201501,2.57413778351594,24,0.5,0,"1997",2.17260273972603,30.913698630137,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","256 _97","1",1,2013,"1",12,11.6078128281275,201301,2.94575390374775,40,0.25,1,"1997",2.16986301369863,31.9150684931507,"1","1",5,2,4,1,1,7,7,6,6,7
"101","258 _97","1",1,2009,"1",17,10.4868477684853,200902,3.40518940293169,14,1,1,"1997",0.917808219178082,25.541095890411,"1","1",4,4,3,2,2,6,6,6,5,5
"102","259 _97","1",1,2001,"1",13,NA,200101,2.67414864942653,16,0.5,0,"1997",0.586301369863014,19.7068493150685,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","260 _97","1",1,2002,"1",15,10.9499465279837,200201,2.23804657185647,12,1,1,"1997",0.671232876712329,21.6643835616438,"0","1",5,5,5,7,1,7,7,7,5,6
"104","264 _97","1",1,2015,"1",17,NA,201502,2.90862634664011,40,1,0,"1997",1.58630136986301,32.2068493150685,"1","1",3,2,7,1,2,7,7,6,6,6
"105","267 _97","0",1,2003,"1",16,11.520407405318,200101,2.17475172148416,8,1,0,"1997",0.328767123287671,22.8356164383562,"1","1",2,1,5,2,2,7,6,6,6,6
"106","268 _97","1",1,2013,"1",14,10.8085353184642,201303,3.99930101353521,40,1,1,"1997",0.501369863013699,31.7493150684931,"0","1",5,2,2,3,3,7,6,7,7,6
"107","279 _97","1",1,1999,"0",12,11.8315319116999,199901,2.40514168131914,40,1,0,"1997",0.832876712328767,17.5835616438356,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
